service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"0 - LinkFM_#2_2015-07-14T09:11:20_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#2_2015-07-14T09:11:20_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#2_2015-07-14T09:11:20_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#2_2015-07-14T13:06:42_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#2_2015-07-14T13:06:42_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#2_2015-07-14T13:06:42_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#2_2015-07-14T13:06:42_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#2_2015-07-14T13:06:42_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#2_2015-07-14T13:06:42_20170819_99991231_20170714_99991231_7","0","0","0","0","0","1","0","20170819","20180531"
"0 - LinkFM_#20_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#20_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#20_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#20_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#20_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#20_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_7","0","0","0","0","0","1","0","20170819","20180531"
"0 - LinkFM_#21_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#21_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#21_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#21_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#21_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#21_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_7","0","0","0","0","0","1","0","20170819","20180531"
"0 - LinkFM_#22_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#22_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#22_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#22_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#22_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#22_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_7","0","0","0","0","0","1","0","20170819","20180531"
"0 - LinkFM_#23_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#23_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#23_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#23_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#23_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#23_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_7","0","0","0","0","0","1","0","20170819","20180531"
"0 - LinkFM_#24_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#24_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#24_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#24_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#24_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#24_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_7","0","0","0","0","0","1","0","20170819","20180531"
"0 - LinkFM_#25_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#25_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#25_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#25_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#25_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
"0 - LinkFM_#25_2015-07-14T13:06:45_20170819_99991231_20170714_99991231_7","0","0","0","0","0","1","0","20170819","20180531"
"0 - LinkFM_#26_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_2","1","0","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#26_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_3","0","1","0","0","0","0","0","20170819","20180531"
"0 - LinkFM_#26_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_4","0","0","1","0","0","0","0","20170819","20180531"
"0 - LinkFM_#26_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_5","0","0","0","1","0","0","0","20170819","20180531"
"0 - LinkFM_#26_2015-07-14T13:06:46_20170819_99991231_20170714_99991231_6","0","0","0","0","1","0","0","20170819","20180531"
