stop_id,stop_name,stop_lat,stop_lon
"13th Ave S & 34th/33rd St S (Midblock South Green Mill)","13th Ave S & 34th/33rd St S (Midblock South Green Mill)","46.861310849100526","-96.83419891216471"
"13th Ave S & 44th St S (Corner NE)","13th Ave S & 44th St S (Corner NE)","46.861973","-96.85908917"
"13th Ave S & 47th St S (Corner NE)","13th Ave S & 47th St S (Corner NE)","46.8619427","-96.86434895"
"13th Ave S & 48th St S (Corner SW)","13th Ave S & 48th St S (Corner SW)","46.86181283","-96.86726135"
"13th Ave S & 50th St SW (Corner SW)","13th Ave S & 50th St SW (Corner SW)","46.86187917","-96.87029988"
"13th Ave S & 5th St S (Corner NE)","13th Ave S & 5th St S (Corner NE)","46.86162294","-96.78766803"
"13th Ave S & 8th St S (Corner NE)","13th Ave S & 8th St S (Corner NE)","46.86157448","-96.79169353"
"13th Ave S & Fiechtner Dr (Corner NE)","13th Ave S & Fiechtner Dr (Corner NE)","46.86172607","-96.83585301"
"13th Ave S & Nodak Dr (Corner NE)","13th Ave S & Nodak Dr (Corner NE)","46.86172815","-96.83227402"
"13th Ave S & Page Dr (Corner NE)","13th Ave S & Page Dr (Corner NE)","46.86162292","-96.82735944"
"13th Ave S & Page Dr (Corner SW)","13th Ave S & Page Dr (Corner SW)","46.86152657","-96.82771206"
"13th Ave S & University Dr S (Corner SW)","13th Ave S & University Dr S (Corner SW)","46.861379371514424","-96.79875164974443"
"13th Ave S & Westrac Dr (Shelter 201 Corner NE)","Shelter 201 (Wendys)","46.86172057","-96.82994026"
"13th Ave W & 1st St (Corner SW)","13th Ave W & 1st St (Corner SW)","46.86236018","-96.90009527"
"13th Ave W & River St (Corner SW)","13th Ave W & River St (Corner SW)","46.86242618","-96.90657483"
"14th Ave S & 32nd St S (Corner SW)","14th Ave S & 32nd St S (Corner SW)","46.85980160015159","-96.83035459552968"
"14th Ave S & 33rd St S (Corner NE)","14th Ave S & 33rd St S (Corner NE)","46.86006356824667","-96.83229736582038"
"14th St N & 10th Ave N (Corner NW)","14th St N & 10th Ave N (Corner NW)","46.886921874988914","-96.80131558983904"
"14th St N & 10th Ave N (Corner SE)","14th St N & 10th Ave N (Corner SE)","46.88539298147754","-96.75712012042914"
"14th St N & 11th Ave N (Corner NW)","14th St N & 11th Ave N (Corner NW)","46.888743875636955","-96.80133889459331"
"14th St N & 2nd Ave N (Corner SE)","14th St N & 2nd Ave N (Corner SE)","46.876991734750895","-96.75723356655581"
"14th St N & 5th Ave N (Corner SE)","14th St N & 5th Ave N (Corner SE)","46.880211568582865","-96.75718249730143"
"14th St N & 8th Ave N (Corner NW)","14th St N & 8th Ave N (Corner NW)","46.884799487504694","-96.80135832630033"
"14th St N & 8th Ave N (Corner SE)","14th St N & 8th Ave N (Corner SE)","46.88333144231603","-96.75713369095438"
"14th St S & 12th AVe S (Corner SE)","14th St S & 12th AVe S (Corner SE)","46.86205229502992","-96.7574244768331"
"14th St S & 14th Ave S (Corner SE)","14th St S & 14th Ave S (Corner SE)","46.86015925015374","-96.7574415458698"
"14th St S & 18th Ave S (Corner SE)","14th St S & 18th Ave S (Corner SE)","46.856469862298155","-96.7574078260081"
"14th St S & 20th AVe S (Corner SE)","14th St S & 20th AVe S (Corner SE)","46.85478413824321","-96.75739024986005"
"14th St S & 22nd Ave S (Corner SE)","14th St S & 22nd Ave S (Corner SE)","46.85299876547755","-96.75736797675059"
"14th St S & 24th Ave S (Corner SE)","14th St S & 24th Ave S (Corner SE)","46.85123037","-96.75736359"
"14th St S & 27th Ave S (Corner NE)","14th St S & 27th Ave S (Corner NE)","46.848428937920794","-96.75734253195738"
"14th St S & 34th Ave S (Corner NW)","14th St S & 34th Ave S (Corner NW)","46.83994681651843","-96.75763540850461"
"14th St S & 37th Ave S (Corner NW)","14th St S & 37th Ave S (Corner NW)","46.83643854","-96.75753383"
"14th St S & 4th Ave S (Corner SE)","14th St S & 4th Ave S (Corner SE)","46.87048090012088","-96.75733647981158"
"14th St S & 9th Ave S (Corner NW)","9th Ave S & 14th St S (Corner NW)","46.86577389","-96.80147078"
"14th St S & 9th Ave S (Corner SE)","14th St S & 9th Ave S (Corner SE)","46.86491501926727","-96.75742255633202"
"14th St S & 9th/6th Ave S (Shelter 128 Midblock East)","Shelter 128 (MSUM)","46.86680548355637","-96.75734779980021"
"15th Ave N & 11th St N (Corner NE)","15th Ave N & 11th St N (Corner NE)","46.89056249538379","-96.76216949177575"
"15th Ave N & 12th St N (T intersection South)","15th Ave N & 12th St N (T intersection South)","46.89052556854695","-96.76045750383864"
"15th Ave N & Midblock between 13th St and 13 1/2 St (T intersection South)","15th Ave & 13 1/2 St N (DMV)","46.89058411571805","-96.75878797203482"
"15th Ave S & 42nd St S (Corner SW)","15th Ave S & 42nd St S (Corner SW)","46.85812587324371","-96.85117069119765"
"15th Ave S & 43rd St S (Corner NE)","15th Ave S & 43rd St S (Corner NE)","46.85835843780303","-96.85353480602087"
"15th Ave S & 43rd St S (Corner SW)","15th Ave S & 43rd St S (Corner SW)","46.858142445996634","-96.85391726998279"
"15th Ave S & 44th St S (Corner SW)","15th Ave S & 44th St S (Corner SW)","46.85819148019666","-96.85949587848364"
"16th Ave N & 11th St N (Corner SW)","16th Ave N & 11th St N (Corner SW)","46.899314260441926","-96.79527877842847"
"17th Ave N & 12th St N (Corner SW)","17th Ave N & 12th St N (Corner SW)","46.90111652","-96.7967184"
"17th Ave N & Albrecht Blvd (Shelter 230 Corner SW)","Shelter 230 (Corner SW)","46.90102310380934","-96.80309048750988"
"17th Ave N & NDSU University Village (Shelter 252 Midblock North)","Shelter 252 (University Vilage)","46.901250500989896","-96.79530586385742"
"17th Ave N & University Dr N (Corner NE)","17th Ave N & University Dr N (Corner NE)","46.90127801410825","-96.79763234635466"
"17th Ave S & 10th St S (Corner NE)","17th Ave S & 10th St S (Corner NE)","46.85446061652603","-96.79485042524288"
"17th Ave S & 10th St S (Corner SW)","17th Ave S & 10th St S (Corner SW)","46.854204454753166","-96.79526559364358"
"17th Ave S & 11th St S/Unviversity Dr S (Shelter 206 Midblock North)","17th Ave S & 11th St S/Unviversity Dr S (Shelter 206 Midblock North)","46.854471441846854","-96.79641709437117"
"17th Ave S & 14th St S (Corner NE)","17th Ave S & 14th St S (Corner NE)","46.85447037306545","-96.80131893105762"
"17th Ave S & 14th St S (Corner SW)","17th Ave S & 14th St S (Corner SW)","46.85421844824127","-96.80171648178518"
"17th Ave S & 16th St S (Corner NE)","17th Ave S & 16th St S (Corner NE)","46.8543455","-96.80594119"
"17th Ave S & 16th St S (Shelter 232 Corner SW)","17th Ave S & 16th St S (Shelter 232 Corner SW)","46.85419665790321","-96.80636473660032"
"17th Ave S & 17th St S (Corner SW)","17th Ave S & 17th St S (Corner SW)","46.85419394335983","-96.8092809137159"
"17th Ave S & 23rd St S (Corner NE)","17th Ave S & 23rd St S (Corner NE)","46.85427137","-96.81679012"
"17th Ave S & 23rd St S (Corner SW)","17th Ave S & 23rd St S (Corner SW)","46.854135945622495","-96.81717237891394"
"17th Ave S & 25th St S (Corner NE)","17th Ave S & 25th St S (Corner NE)","46.85438519529473","-96.8192301697941"
"17th Ave S & 32nd St S (Corner NE)","17th Ave S & 32nd St S (Corner NE)","46.8544410997571","-96.82999422773032"
"17th Ave S & 35th St S (Corner NE)","17th Ave S & 35th St S (Corner NE)","46.85435706","-96.83790311"
"17th Ave S & 35th St S (Shelter 266 Corner SW)","17th Ave S & 35th St S (Shelter 266 Corner SW)","46.85424652698394","-96.83833704606582"
"17th Ave S & 38th St S (Corner NE)","17th Ave S & 38th St S (Corner NE)","46.85508537","-96.84148811"
"17th Ave S & 43rd St S (T Intersection South)","17th Ave S & 43rd St S (T Intersection South)","46.85493003204271","-96.85384686826097"
"17th Ave S & 44th St S (Corner NE)","17th Ave S & 44th St S (Corner NE)","46.854723235103","-96.85869722502585"
"17th Ave S & 5th St S (Corner SW)","17th Ave S & 5th St S (Corner SW)","46.85418877776138","-96.78814880306017"
"17th Ave S & 6th St S (Corner SW)","17th Ave S & 6th St S (Corner SW)","46.85417252563168","-96.78928311329759"
"17th Ave S & 8th St S (Corner NE)","17th Ave S & 8th St S (Corner NE)","46.85433323","-96.79184178"
"17th Ave S & 8th St S (Corner SW)","17th Ave S & 8th St S (Corner SW)","46.854188478215484","-96.79223458667158"
"17th Ave S & Cobblestone Ct (T Intersection South)","17th Ave S & Cobblestone Ct (T Intersection South)","46.854159775604636","-96.82417263808689"
"17th Ave S & E Gateway Cir (Shelter 228 T Intersection South)","17th Ave S & E Gateway Cir (Shelter 228 T Intersection South)","46.85414635660669","-96.82173263948182"
"17th Ave S & E Gateway Cir S (Corner NE)","17th Ave S & E Gateway Cir S (Corner NE)","46.8544040260298","-96.82156236579887"
"17th Ave S & South High School (Midblock North)","17th Ave S & South High School (Midblock North)","46.85445387375614","-96.81150446473985"
"17th Ave S & University Dr S/11th St S (Shelter 207 Midblock South)","17th Ave S & University Dr S/11th St S (Shelter 207 Midblock South)","46.85419485753813","-96.7972892649214"
"17th Ave S & W Gateway Cir (Corner SW)","17th Ave S & W Gateway Cir (Corner SW)","46.85415747315646","-96.82548025236234"
"17th Ave S & W Gateway Cir S (Corner NE)","17th Ave S & W Gateway Cir S (Corner NE)","46.85440757462171","-96.82506669527986"
"17th St N & 10th Ave N (Corner SE)","17th St N & 10th Ave N (Corner SE)","46.88521704","-96.75248362"
"17th St N & 13th Ave N & 17th St N (Corner SE)","17th St N & 13th Ave N (Corner SE)","46.88914363","-96.75240729"
"17th St N & 8th Ave N (Corner SE)","17th St N & 8th Ave N (Corner SE)","46.88332632","-96.75256852"
"18th Ave SW & 40th St SW (Corner NE)","18th Ave SW & 40th St SW (Corner NE)","46.85159807","-96.84779035"
"18th Ave SW & 40th St SW (Corner NW)","18th Ave SW & 42nd St SW (Corner NE)","46.85165427","-96.85094967"
"18th St N & 11th Ave N (Shelter 269 Corner SE)","Shelter 269 (Corner SE)","46.88841404029477","-96.80901411927788"
"18th ST N & 12th Ave N","18th ST N & 12th Ave N","46.89026054","-96.80922514"
"18th St N & 15th Ave N (Corner SE)","18th St N & 15th Ave N (Farside Stop)","46.89789973","-96.80878634"
"18th St N & 17th Ave N (Corner SE)","18th St N & 17th Ave N (Corner SE)","46.90111143","-96.8088606"
"18th St N & NDSU LLC (Pullout East)","18th St N & NDSU LLC (Pullout East)","46.89534803720009","-96.8086710680369"
"18th St N & NDSU Res Pk Dr (Shelter 244 Corner SE)","Shelter 244 (Research Park)","46.90355331090452","-96.80862409625706"
"18th St S & 25th Ave S (Corner SE)","18th St S & 25th Ave S (Corner SE)","46.84268164984191","-96.8111104553863"
"18th St S & 26th Ave S (Corner NW)","18th St S & 26th Ave S (Corner NW)","46.84108590769445","-96.81072113597061"
"18th St S & 26th Ave S (Corner SE)","18th St S & 26th Ave S (Corner SE)","46.8407997869143","-96.81038830639127"
"18th St S & 27th Ave S (Corner NW)","18th St S & 27th Ave S (Corner NW)","46.83851115066192","-96.81072727478919"
"19th Ave E & 52nd St S","19th Ave E & 52nd St SW (Corner SW)","46.85107219","-96.87186407"
"19th Ave E & Burlington Dr","19th Ave E & Burlington Dr (Corner SW)","46.85113505","-96.87858991"
"19th Ave E & Times Square Way","19th Ave E & Times Square Way (Corner SW)","46.85119564","-96.88150258"
"19th Ave N & 3rd St N (Corner SW)","19th Ave N & 3rd St N (Corner SW)","46.90477759","-96.78301722"
"19th Ave N & 4th St N (Corner SW)","19th Ave N & 4th St N (Corner SW)","46.90478473","-96.78431827"
"19th Ave N & Elm St N (Corner SW)","19th Ave N & Elm St N (Corner SW)","46.90480572","-96.77702032"
"19th Ave S & 49th St SW (Corner SW)","19th Ave S & 49th St SW (Corner SW)","46.85101681","-96.86914715"
"19th Ave S & Fastlane Car Wash (Midblock)","19th Ave S & Fastlane Car Wash (Midblock South)","46.8509178","-96.86542808"
"19th E & Burlington Ln","19th Ave E & Burlington Ln (Corner SW)","46.85107405","-96.87510566"
"1st Ave N & 10th St N (Corner NE)","1st Ave N & 10th St N (Corner NE)","46.87746466451534","-96.79364713901568"
"1st Ave N & 10th St N (Corner SW)","1st Ave N & 10th St N (Corner SW)","46.87602496493539","-96.76498027055138"
"1st Ave N & 12th St N (Corner SW)","1st Ave N & 12th St N (Corner SW)","46.87601431076807","-96.7612920076513"
"1st Ave N & 12th St N (Shelter 214 Corner NE)","Shelter 245 (Holiday C-Store)","46.877486075370086","-96.79684276979354"
"1st Ave N & 15th St N (After First Driveway South)","1st Ave N & 15th St N (After First Driveway South)","46.87598175293247","-96.75565947596832"
"1st Ave N & 17th St N (Corner SW)","1st Ave N & 17th St N (Corner SW)","46.875980415959404","-96.75293500172293"
"1st Ave N & 18/20th St N (Shelter 105 Midblock)","Shelter 105 (Churches United)","46.87592794507659","-96.74827938693132"
"1st Ave N & 3rd St N (Corner NE - Fargo)","1st Ave N & 3rd St N (Corner NE - Fargo)","46.87717011411421","-96.78269946271885"
"1st Ave N & 8th St N (Corner NE)","1st Ave N & 8th St N (Corner NE)","46.87737983","-96.79264008"
"1st Ave N & 8th St N (Corner SE)","1st Ave N & 8th St N (Corner SE)","46.87599087229455","-96.76801620581409"
"1st Ave N & Broadway N (Corner NE)","1st Ave N & Broadway N (Corner NE)","46.87708068406888","-96.78734212681987"
"1st Avenue NW & 1st Street NW (Corner NE by School)","Dilworth Elementary School","46.87762184835367","-96.70407607709087"
"1st Avenue NW & 3rd Street NW (Corner NE)","1st Avenue NW & 3rd Street NW (Corner NE)","46.87767878875769","-96.70713230684285"
"1st Avenue NW & 5th Street NW (Corner NE)","1st Avenue NW & 5th Street NW (Corner NE)","46.877644189937286","-96.71024135606915"
"1st Avenue NW & 9th Street North (Corner NE)","1st Avenue NW & 9th Street North (Corner NE)","46.87801974099994","-96.71465634743662"
"1st Avenue NW & Near 8th Street NW (North Side By Main Entrance to Community Center)","Dilworth Community Center","46.8776316937752","-96.7132931268054"
"1st Avenue SE & 2nd Street SE (Corner SW)","1st Avenue SE & 2nd Street SE (Corner SW)","46.87564627978972","-96.70058707335393"
"1st Avenue SE & 4th Street SE (Corner SW)","1st Avenue SE & 4th Street SE (Corner SW)","46.87566007825044","-96.69796864996647"
"1st Avenue SE & 5th Street SE (Corner SW)","1st Avenue SE & 5th Street SE (Corner SW)","46.87566445551366","-96.69533582809665"
"1st Avenue SW & 2nd Street SW (Corner SW)","1st Avenue SW & 2nd Street SW (Corner SW)","46.87563913433255","-96.70611207001463"
"1st Avenue SW & Main Street - City Hall & Post Office (Corner SW)","Dilworth City Hall & Post Office (Corner SW)","46.8756376793474","-96.70335781418153"
"1st St & 5th Ave W (Corner NW)","1st St & 5th Ave W (Corner NW)","46.87185899","-96.89984858"
"1st St & 7th Ave W (Corner NW)","1st St & 7th Ave W (Corner NW)","46.86964525","-96.8998491"
"202 1st Ave N (Heritage Center Entrance*)","202 1st Ave N (Heritage Center Entrance*)","46.877519157957146","-96.7781426137874"
"20th Ave S & 9th St S (Corner SW)","20th Ave S & 9th St S (Corner SW)","46.85496178090488","-96.76661676800035"
"20th Ave S 11th St S (Corner SW)","20th Ave S 11th St S (Corner SW)","46.854924888719125","-96.76299629106099"
"20th St N & 5th Ave N (Corner NW)","20th St N & 5th Ave N (Corner NW)","46.88170329197508","-96.81235638327873"
"20th St N & 8lth Ave N (Corner SE)","20th St N & 7th Ave N (Corner SE)","46.88225456","-96.74798502"
"20th St S & 12th Ave S (Midblock West by driveway)","20th St S & 12th Ave S (Midblock West by driveway)","46.86408781410425","-96.74790993602157"
"20th St S & 12th/14th Ave S (Shelter 124 Midblock West)","Shelter 124 (Midblock)","46.86092236348497","-96.74781539899868"
"20th St S & 14th/16th Ave S (Midblock West)","20th St S & 14th/16th Ave S (Midblock West)","46.85912973919108","-96.74787324620421"
"20th St S & 16th/18th Ave S (Shelter 110 Midblock West)","20th St S & 16th/18th Ave S (Shelter 110 Midblock West)","46.857452957919655","-96.7478690711139"
"20th St S & 20th Ave S (Corner SW)","20th St S & 20th Ave S (Corner SW)","46.85475309658912","-96.7478144439527"
"20th St S & 22nd Ave S (Corner SW)","20th St S & 22nd Ave S (Corner SW)","46.8534438275691","-96.74786471298411"
"20th St S & 30th Ave S (Midblock East Side)","20th St S & 30th Ave S (Midblock East Side)","46.84372601683827","-96.74782108332178"
"20th St S & 8th Ave S (Corner SW)","20th St S & 8th Ave S (Corner SW)","46.86604592918377","-96.74803759330126"
"20th St. S. & Belsly Blvd (Corner NW)","20th St. S. & Belsly Blvd (Corner NW)","46.84210234160352","-96.74777932679898"
"23rd Ave S & 43rsd St S (Corner NE)","23rd Ave S & 43rd St S (Corner NE)","46.8440678","-96.85602742"
"23rd Ave S & Comfort Suites (Corner NE)","23rd Ave S & Comfort Suites (Corner NE)","46.84400597","-96.85969141"
"23rd Ave S & Hampton Inn & Suites","23rd Ave S & Hampton Inn & Suites (Corner NE)","46.8440272","-96.86754351"
"23rd Ave S 55th St S","Costco & 55th St S (Corner SW)","46.84370904","-96.88477916"
